0, Online user list returned
jven054,2,203.173.145.123,10007,1528315090
dlan445,0,10.103.137.61,10010,1528315261
qhen143,2,125.237.148.93,10004,1528315302
ilee471,1,172.23.9.219,10002,1528315320
dche192,2,222.152.174.59,15008,1528315323
adan849,1,172.23.116.14,10007,1528315328
acha932,0,10.103.137.54,8080,1528315341
jche681,2,118.92.150.247,10005,1528315361
lkim564,1,172.23.154.65,10001,1528315369
adwi888,2,122.59.189.208,10015,1528315372
mcar397,1,172.23.36.184,10004,1528315376
